Tintri_Name,Region,Ingest_Date,Physical_Space,Physical_Free,Physical_Used,Logical_Space,Logical_Free,Logical_Used,Percent_Used,Saving_Factor,Number_of_VMs,Snapshots_on_Hypervisor_GB,Snapshots_on_TinTi_GB,Total_Snapshots
usqastntdmz002.corp.shire.com,Ashburn,11/1/2021 3:20:02 PM,1.72041180014639,1.70707057973323,0.01334122041317,2.83219690774607,2.81023416417705,0.02196274356902,0.77546668838426,1.64623197045328,1,0,0,0
usqastntdmz001.corp.shire.com,Ashburn,11/2/2021 3:20:02 PM,10.75346388468730,7.46266085454134,3.29080303014598,16.89271825780650,11.72316461199460,5.16955364581190,30.60226049423950,1.57090947056243,15,1690,0,1690
sa79tintri5010.corp.shire.com,Ashburn,11/3/2021 3:20:02 PM,13.95177263343340,7.88703094780158,6.06474168563182,28.76922423827000,16.26343604308290,12.50578819518710,43.46932712405690,2.06204795577938,25,4371,0,4371
sa79tintri5010.corp.shire.com,Ashburn,11/4/2021 3:20:02 PM,13.95177263343340,7.88703094780158,6.06474168563182,28.76922423827000,16.26343604308290,12.50578819518710,43.46932712405690,2.06204795577938,25,4371,0,4371
sa79tintri5009r.corp.shire.com,Ashburn,11/5/2021 3:20:02 PM,27.95284380495640,11.47313507308990,16.47970873186660,89.73634682755190,36.83193149512710,52.90441533242470,58.95539232736120,3.21027611550708,158,14756,1070,15825
sa79tintri5008r.corp.shire.com,Ashburn,11/6/2021 3:20:02 PM,27.95284380495640,9.99564469741654,17.95719910754000,79.99909497505820,28.60683997181610,51.39225500324210,64.24104550090840,2.86193045449183,141,16543,65,16609
sa79tintri5007.corp.shire.com,Ashburn,11/7/2021 3:20:02 PM,44.72593913459790,25.88582113280780,18.84011800179000,141.73413545321800,82.03079800547110,59.70333744774770,42.12347100212400,3.16894710755397,235,14155,2678,16833
sa79tintri5006.corp.shire.com,Ashburn,11/8/2021 3:20:02 PM,55.75139115333600,13.10182977309070,42.64956138024540,116.51116508484500,27.38065221381950,89.13051287102550,76.49954646502720,2.08983422071744,203,21967,2906,24873
sa79tintri5005.corp.shire.com,Ashburn,11/9/2021 3:20:02 PM,30.74835969322880,15.13694917490560,15.61141051832330,74.17933908420030,36.51735886883390,37.66198021536640,50.77152301480690,2.41246491924366,112,5566,2166,7732
sa79tintri5004.corp.shire.com,Ashburn,11/10/2021 3:20:02 PM,30.74835969322880,6.56342424375453,24.18493544947430,70.25966754650710,14.99735302740160,55.26231451910550,78.65439226925700,2.28498912616724,113,31273,1834,33107
